ref_name,dist_name,dist_type
121-cc-774921.png,121-cc-774921_23_01.png,22
121-cc-774921.png,121-cc-774921_23_02.png,22
121-cc-774921.png,121-cc-774921_23_03.png,22
121-cc-774921.png,121-cc-774921_23_04.png,22
121-cc-774921.png,121-cc-774921_23_05.png,22
19-199047.png,19-199047_07_01.png,6
19-199047.png,19-199047_07_02.png,6
19-199047.png,19-199047_07_03.png,6
19-199047.png,19-199047_07_04.png,6
19-199047.png,19-199047_07_05.png,6
2016-1447856.png,2016-1447856_04_01.png,3
2016-1447856.png,2016-1447856_04_02.png,3
2016-1447856.png,2016-1447856_04_03.png,3
2016-1447856.png,2016-1447856_04_04.png,3
2016-1447856.png,2016-1447856_04_05.png,3
2016-1447950.png,2016-1447950_03_01.png,2
2016-1447950.png,2016-1447950_03_02.png,2
2016-1447950.png,2016-1447950_03_03.png,2
2016-1447950.png,2016-1447950_03_04.png,2
2016-1447950.png,2016-1447950_03_05.png,2
2016-1483462.png,2016-1483462_25_01.png,24
2016-1483462.png,2016-1483462_25_02.png,24
2016-1483462.png,2016-1483462_25_03.png,24
2016-1483462.png,2016-1483462_25_04.png,24
2016-1483462.png,2016-1483462_25_05.png,24
25-april-bridge-349137.png,25-april-bridge-349137_25_01.png,24
25-april-bridge-349137.png,25-april-bridge-349137_25_02.png,24
25-april-bridge-349137.png,25-april-bridge-349137_25_03.png,24
25-april-bridge-349137.png,25-april-bridge-349137_25_04.png,24
25-april-bridge-349137.png,25-april-bridge-349137_25_05.png,24
3d-anaglyph-738967.png,3d-anaglyph-738967_04_01.png,3
3d-anaglyph-738967.png,3d-anaglyph-738967_04_02.png,3
3d-anaglyph-738967.png,3d-anaglyph-738967_04_03.png,3
3d-anaglyph-738967.png,3d-anaglyph-738967_04_04.png,3
3d-anaglyph-738967.png,3d-anaglyph-738967_04_05.png,3
4-leaves-1039818.png,4-leaves-1039818_07_01.png,6
4-leaves-1039818.png,4-leaves-1039818_07_02.png,6
4-leaves-1039818.png,4-leaves-1039818_07_03.png,6
4-leaves-1039818.png,4-leaves-1039818_07_04.png,6
4-leaves-1039818.png,4-leaves-1039818_07_05.png,6
400500-1333884.png,400500-1333884_21_01.png,20
400500-1333884.png,400500-1333884_21_02.png,20
400500-1333884.png,400500-1333884_21_03.png,20
400500-1333884.png,400500-1333884_21_04.png,20
400500-1333884.png,400500-1333884_21_05.png,20
400500-1343636.png,400500-1343636_01_01.png,0
400500-1343636.png,400500-1343636_01_02.png,0
400500-1343636.png,400500-1343636_01_03.png,0
400500-1343636.png,400500-1343636_01_04.png,0
400500-1343636.png,400500-1343636_01_05.png,0
400500-1402826.png,400500-1402826_20_01.png,19
400500-1402826.png,400500-1402826_20_02.png,19
400500-1402826.png,400500-1402826_20_03.png,19
400500-1402826.png,400500-1402826_20_04.png,19
400500-1402826.png,400500-1402826_20_05.png,19
400500-1402827.png,400500-1402827_18_01.png,17
400500-1402827.png,400500-1402827_18_02.png,17
400500-1402827.png,400500-1402827_18_03.png,17
400500-1402827.png,400500-1402827_18_04.png,17
400500-1402827.png,400500-1402827_18_05.png,17
400500-1470887.png,400500-1470887_21_01.png,20
400500-1470887.png,400500-1470887_21_02.png,20
400500-1470887.png,400500-1470887_21_03.png,20
400500-1470887.png,400500-1470887_21_04.png,20
400500-1470887.png,400500-1470887_21_05.png,20
6-1238605.png,6-1238605_22_01.png,21
6-1238605.png,6-1238605_22_02.png,21
6-1238605.png,6-1238605_22_03.png,21
6-1238605.png,6-1238605_22_04.png,21
6-1238605.png,6-1238605_22_05.png,21
a-10-thunderbolt-1708096.png,a-10-thunderbolt-1708096_21_01.png,20
a-10-thunderbolt-1708096.png,a-10-thunderbolt-1708096_21_02.png,20
a-10-thunderbolt-1708096.png,a-10-thunderbolt-1708096_21_03.png,20
a-10-thunderbolt-1708096.png,a-10-thunderbolt-1708096_21_04.png,20
a-10-thunderbolt-1708096.png,a-10-thunderbolt-1708096_21_05.png,20
a-1582554.png,a-1582554_05_01.png,4
a-1582554.png,a-1582554_05_02.png,4
a-1582554.png,a-1582554_05_03.png,4
a-1582554.png,a-1582554_05_04.png,4
a-1582554.png,a-1582554_05_05.png,4
a-bluish-purple-flower-754106.png,a-bluish-purple-flower-754106_24_01.png,23
a-bluish-purple-flower-754106.png,a-bluish-purple-flower-754106_24_02.png,23
a-bluish-purple-flower-754106.png,a-bluish-purple-flower-754106_24_03.png,23
a-bluish-purple-flower-754106.png,a-bluish-purple-flower-754106_24_04.png,23
a-bluish-purple-flower-754106.png,a-bluish-purple-flower-754106_24_05.png,23
a-cake-1174970.png,a-cake-1174970_18_01.png,17
a-cake-1174970.png,a-cake-1174970_18_02.png,17
a-cake-1174970.png,a-cake-1174970_18_03.png,17
a-cake-1174970.png,a-cake-1174970_18_04.png,17
a-cake-1174970.png,a-cake-1174970_18_05.png,17
a-cake-1595876.png,a-cake-1595876_01_01.png,0
a-cake-1595876.png,a-cake-1595876_01_02.png,0
a-cake-1595876.png,a-cake-1595876_01_03.png,0
a-cake-1595876.png,a-cake-1595876_01_04.png,0
a-cake-1595876.png,a-cake-1595876_01_05.png,0
a-canal-boat-1538583.png,a-canal-boat-1538583_13_01.png,12
a-canal-boat-1538583.png,a-canal-boat-1538583_13_02.png,12
a-canal-boat-1538583.png,a-canal-boat-1538583_13_03.png,12
a-canal-boat-1538583.png,a-canal-boat-1538583_13_04.png,12
a-canal-boat-1538583.png,a-canal-boat-1538583_13_05.png,12
a-canal-boat-1538584.png,a-canal-boat-1538584_12_01.png,11
a-canal-boat-1538584.png,a-canal-boat-1538584_12_02.png,11
a-canal-boat-1538584.png,a-canal-boat-1538584_12_03.png,11
a-canal-boat-1538584.png,a-canal-boat-1538584_12_04.png,11
a-canal-boat-1538584.png,a-canal-boat-1538584_12_05.png,11
a-cat-789470.png,a-cat-789470_15_01.png,14
a-cat-789470.png,a-cat-789470_15_02.png,14
a-cat-789470.png,a-cat-789470_15_03.png,14
a-cat-789470.png,a-cat-789470_15_04.png,14
a-cat-789470.png,a-cat-789470_15_05.png,14
a-cup-of-1544658.png,a-cup-of-1544658_16_01.png,15
a-cup-of-1544658.png,a-cup-of-1544658_16_02.png,15
a-cup-of-1544658.png,a-cup-of-1544658_16_03.png,15
a-cup-of-1544658.png,a-cup-of-1544658_16_04.png,15
a-cup-of-1544658.png,a-cup-of-1544658_16_05.png,15
a-cup-of-coffee-399478.png,a-cup-of-coffee-399478_14_01.png,13
a-cup-of-coffee-399478.png,a-cup-of-coffee-399478_14_02.png,13
a-cup-of-coffee-399478.png,a-cup-of-coffee-399478_14_03.png,13
a-cup-of-coffee-399478.png,a-cup-of-coffee-399478_14_04.png,13
a-cup-of-coffee-399478.png,a-cup-of-coffee-399478_14_05.png,13
a-delicacy-322722.png,a-delicacy-322722_21_01.png,20
a-delicacy-322722.png,a-delicacy-322722_21_02.png,20
a-delicacy-322722.png,a-delicacy-322722_21_03.png,20
a-delicacy-322722.png,a-delicacy-322722_21_04.png,20
a-delicacy-322722.png,a-delicacy-322722_21_05.png,20
a-drop-of-1741479.png,a-drop-of-1741479_22_01.png,21
a-drop-of-1741479.png,a-drop-of-1741479_22_02.png,21
a-drop-of-1741479.png,a-drop-of-1741479_22_03.png,21
a-drop-of-1741479.png,a-drop-of-1741479_22_04.png,21
a-drop-of-1741479.png,a-drop-of-1741479_22_05.png,21
a-drop-of-187904.png,a-drop-of-187904_09_01.png,8
a-drop-of-187904.png,a-drop-of-187904_09_02.png,8
a-drop-of-187904.png,a-drop-of-187904_09_03.png,8
a-drop-of-187904.png,a-drop-of-187904_09_04.png,8
a-drop-of-187904.png,a-drop-of-187904_09_05.png,8
a-drop-of-189194.png,a-drop-of-189194_21_01.png,20
a-drop-of-189194.png,a-drop-of-189194_21_02.png,20
a-drop-of-189194.png,a-drop-of-189194_21_03.png,20
a-drop-of-189194.png,a-drop-of-189194_21_04.png,20
a-drop-of-189194.png,a-drop-of-189194_21_05.png,20
a-female-deer-600141.png,a-female-deer-600141_16_01.png,15
a-female-deer-600141.png,a-female-deer-600141_16_02.png,15
a-female-deer-600141.png,a-female-deer-600141_16_03.png,15
a-female-deer-600141.png,a-female-deer-600141_16_04.png,15
a-female-deer-600141.png,a-female-deer-600141_16_05.png,15
a-fleshy-plant-1464418.png,a-fleshy-plant-1464418_07_01.png,6
a-fleshy-plant-1464418.png,a-fleshy-plant-1464418_07_02.png,6
a-fleshy-plant-1464418.png,a-fleshy-plant-1464418_07_03.png,6
a-fleshy-plant-1464418.png,a-fleshy-plant-1464418_07_04.png,6
a-fleshy-plant-1464418.png,a-fleshy-plant-1464418_07_05.png,6
a-fleshy-plant-1465051.png,a-fleshy-plant-1465051_22_01.png,21
a-fleshy-plant-1465051.png,a-fleshy-plant-1465051_22_02.png,21
a-fleshy-plant-1465051.png,a-fleshy-plant-1465051_22_03.png,21
a-fleshy-plant-1465051.png,a-fleshy-plant-1465051_22_04.png,21
a-fleshy-plant-1465051.png,a-fleshy-plant-1465051_22_05.png,21
